leaid,leaname,fips,stateabb,gsmean_pool,gsgrdslope_pool,gscohslope_pool,gsmathslope_pool,gsmeanse_pool,gsgrdslopese_pool,gscohslopese_pool,gsmathslopese_pool
100002,ALABAMA YOUTH SERVICES,AL,AL,-3.129204171897332,.8040953904959211,.0919255510278009,-.4326567272821429,.3757462111649457,.1302461431371175,.0908196526159437,.3402168138968715
100005,ALBERTVILLE CITY,AL,AL,-.7560105881897101,.8616776520252604,.0609327020572427,-.2465883654424472,.0518354174886872,.0443140582382939,.0340341383995091,.100327094754876
100006,MARSHALL COUNTY,AL,AL,-.3136357261961686,1.008451032241759,.1521048091106681,-.2064591748540211,.0515023660413817,.0438364611156684,.0339843073871676,.099619428378403
100007,HOOVER CITY,AL,AL,.687390453824908,1.157641870002366,.0367638986293279,-.8373057560174907,.0493806912397431,.0426148542377116,.0328159073688894,.0958498467903591
100008,MADISON CITY,AL,AL,1.269743228734046,1.228981297820296,.1061213571854103,-1.104049519914395,.055218359329826,.0458055562113717,.0360635090941866,.1064493220611588
100011,LEEDS CITY,AL,AL,-1.180095262147171,1.013667887491789,.0800475741515653,-.7084621166807587,.0610826965773171,.0511958542520945,.0394486731366956,.1166303748516819
100012,BOAZ CITY,AL,AL,-.2028944454111885,1.053344705064712,-.0739591751971253,-1.11504472284715,.0604068502397914,.0502280047469924,.0382484575806696,.115553073356252
100013,TRUSSVILLE CITY,AL,AL,.5694807431448501,.8765965999055967,-.0107510106083482,-1.010994555244454,.0577844701524543,.0479795963255337,.0376018279353208,.111120515347488
100018,ALABAMA SCHOOL OF FINE ARTS,AL,AL,2.229813442756544,1.117753953769232,.0217647533141033,-.5352988142939259,.3669054861198396,.1293168759261249,.0894085372977493,.3417047020705923
100030,ALEXANDER CITY,AL,AL,-.282473954286937,.9141642660273329,.0087243912709631,-.4780044711820856,.0549516116823913,.0471997339585586,.0360221449059629,.1059018530672399
100060,ANDALUSIA CITY,AL,AL,-.0629828504192345,1.088097109052939,.1323322402931855,-.4642673180157067,.066700887410509,.0550765808723985,.0421808475815146,.1261658465155699
100090,ANNISTON CITY,AL,AL,-2.345069102214378,.6763383992506697,.0293283155196446,-.8015142160598072,.053152498029369,.0459549898114762,.0351603945262453,.102572749200975
100100,ARAB CITY,AL,AL,1.125291001140655,.9419004549416051,.0399109781342716,-.5741109113536328,.0726042917262897,.0566352898813436,.0439684258523382,.1342284970287101
100120,ATHENS CITY,AL,AL,-.1325292742957229,.9652817213817686,-.0480048984157725,-.9574485038090971,.0571508164697519,.047501229700196,.037034669134443,.1099023774352927
100180,ATTALLA CITY,AL,AL,-1.178535386973118,.7936921635687435,.0401869937700949,-1.028125994447701,.0606781908296246,.0509360522190868,.0386396510873426,.1157088950553633
100185,SARALAND CITY,AL,AL,.3041729229207277,1.137064938017976,.3358646849349355,-.5460243225114096,.0670252936330757,.0532272015327665,.042763325093789,.1238982639749584
100188,CHICKASAW CITY,AL,AL,-1.628301174031923,.9200593816631157,-.0104550848578204,-.1601999127767674,.2315938178795498,.1080191585904576,.0931180827587769,.2374624858121694
100189,SATSUMA CITY,AL,AL,-.3720583551901653,.8870443763402035,.0071457432989065,-.9286893694597126,.2344954330294198,.1073757932059345,.0929419422836159,.2431758204050128
100210,AUBURN CITY,AL,AL,.9217272106353978,1.010825246733102,.0697539757347413,-.5518217136084191,.0550154700847939,.046221479661744,.0360835563811184,.1062382337230082
100240,AUTAUGA COUNTY,AL,AL,.3604703242430132,1.141330585847568,.0316739504553637,-.3765730763824083,.0494851655860742,.0430566346146651,.0328600844733413,.0959913263150597
100270,BALDWIN COUNTY,AL,AL,.060586692524442,.83339030341637,-.0116483449165488,-.6689962064559798,.0462276465121897,.0403078146948187,.0309160957294095,.0900727254014293
100300,BARBOUR COUNTY,AL,AL,-2.916861433271033,.8405920335594741,.0914947766112654,-.6640573639528479,.0631920143229671,.0555769901139559,.0412182811714793,.1207303188328591
100330,BESSEMER CITY,AL,AL,-1.615498769255324,.7761412468628395,-.0780415081281389,-.0222874879048694,.0500704465880346,.0432269255943394,.0331529553879372,.0971494351169156
100360,BIBB COUNTY,AL,AL,-1.220708280631771,.9175862251325858,.0080655549120767,-.8921348918140279,.0519694280677334,.0447550200580449,.0344140063857607,.1006872778553555
100390,BIRMINGHAM CITY,AL,AL,-1.813337844023884,.8723456623480016,.0271503685312225,-.3326200002975219,.0457158260801225,.0399500395436359,.0305785977558419,.0891235088739435
100420,BLOUNT COUNTY,AL,AL,-1.034305409662141,.8545633344712662,.1340222436337222,-1.115803716630767,.0478518752205072,.0414727003240779,.031903913614582,.0930844170909185
100450,BREWTON CITY,AL,AL,-.153056666007573,1.116681696045492,.1624776144506051,-.8078314478371269,.0720196417483889,.0564928312436935,.0453750439653375,.1341339664903012
100480,BULLOCK COUNTY,AL,AL,-2.399629289495215,.6864433897955095,-.0022601452163485,-.8748897367029659,.0578123088044612,.0495430881110339,.037266887409421,.1111984836643441
100510,BUTLER COUNTY,AL,AL,-1.205296352300935,.9400077437639078,.0582550685610646,-.1056535019033091,.0523711042357203,.0448222325706055,.0345951601142636,.1013388236096657
100540,CALHOUN COUNTY,AL,AL,-.4037021634775497,.8414190967606543,.1376999472553888,-1.124918723649679,.0486124811839614,.0420212413942523,.032487171060777,.0944225319723774
100600,CHAMBERS COUNTY,AL,AL,-1.627784466705528,.8849777495455884,.1354819115266054,-1.038813558329604,.0509053818449254,.0440291160559933,.0337771014713776,.0987074536333344
